"Country","Time","new_cases_noisy","new_deaths","new_cases","milPop","new_cases_per_million_noisy","new_cases_per_million","new_deaths_per_million","new_cases_per_million_smoothed_noisy","new_cases_per_million_smoothed","new_deaths_per_million_smoothed","C1_Schools","C2_Workplace","C4_Gatherings","C5_PublicTransport","C6_StayatHome","C7_InternalMovements","C8_InternationalTravel","H6_Mask","stringency_index"
"DNK",2020-02-26,0,0,0,5.806081,0,0,0,0,0,0,"No measures","No measures","No restrictions","No measures","No measures","No measures","No measures","No policy",0
"SWE",2020-02-26,0,0,0,10.230185,0,0,0,0,0,0,"No measures","No measures","No restrictions","No measures","No measures","No measures","No measures","No policy",5.56
"DNK",2020-02-27,1,0,1,5.806081,0.172233215485626,0.172233215485626,0,0,0,0,"No measures","No measures","No restrictions","No measures","No measures","No measures","No measures","No policy",11.11
"SWE",2020-02-27,1,0,1,10.230185,0.0977499429384708,0.0977499429384708,0,0,0,0,"No measures","No measures","No restrictions","No measures","No measures","No measures","No measures","No policy",5.56
"DNK",2020-02-28,0,0,0,5.806081,0,0,0,0,0,0,"No measures","No measures","No restrictions","No measures","No measures","No measures","No measures","No policy",11.11
"SWE",2020-02-28,1,0,1,10.230185,0.0977499429384708,0.0977499429384708,0,0,0,0,"No measures","No measures","No restrictions","No measures","No measures","No measures","No measures","No policy",5.56
"DNK",2020-02-29,1,0,1,5.806081,0.172233215485626,0.172233215485626,0,0,0,0,"No measures","No measures","No restrictions","No measures","No measures","No measures","No measures","No policy",11.11
"SWE",2020-02-29,8,0,8,10.230185,0.781999543507766,0.781999543507766,0,0,0,0,"No measures","No measures","No restrictions","No measures","No measures","No measures","No measures","No policy",5.56
"DNK",2020-03-01,1,0,1,5.806081,0.172233215485626,0.172233215485626,0,0,0,0,"No measures","No measures","No restrictions","No measures","No measures","No measures","No measures","No policy",11.11
"SWE",2020-03-01,3,0,3,10.230185,0.293249828815412,0.293249828815412,0,0,0,0,"No measures","No measures","No restrictions","No measures","No measures","No measures","No measures","No policy",5.56
"DNK",2020-03-02,1,0,1,5.806081,0.172233215485626,0.172233215485626,0,0,0,0,"No measures","No measures","No restrictions","No measures","No measures","No measures","No measures","No policy",11.11
"SWE",2020-03-02,0,0,0,10.230185,0,0,0,0,0,0,"No measures","No measures","No restrictions","No measures","No measures","No measures","Ban on high-risk regions","No policy",13.89
"DNK",2020-03-03,1,0,1,5.806081,0.172233215485626,0.172233215485626,0,0.123023725346876,0.123023725346876,0,"No measures","No measures","No restrictions","No measures","Recommended movement restrictions","No measures","Quarantine from high-risk regions","No policy",20.37
"SWE",2020-03-03,5,0,5,10.230185,0.488749714692354,0.488749714692354,0,0.251356996127496,0.251356996127496,0,"No measures","No measures","No restrictions","No measures","No measures","No measures","Ban on high-risk regions","No policy",13.89
"DNK",2020-03-04,3,0,3,5.806081,0.516699646456879,0.516699646456879,0,0.196837960555001,0.196837960555001,0,"No measures","No measures","No restrictions","No measures","Recommended movement restrictions","No measures","Quarantine from high-risk regions","No policy",20.37
"SWE",2020-03-04,13,0,13,10.230185,1.27074925820012,1.27074925820012,0,0.432892604441799,0.432892604441799,0,"No measures","No measures","No restrictions","No measures","No measures","No measures","Ban on high-risk regions","No policy",19.44
"DNK",2020-03-05,2,0,2,5.806081,0.344466430971252,0.344466430971252,0,0.221442705624377,0.221442705624377,0,"No measures","No measures","No restrictions","No measures","Recommended movement restrictions","No measures","Quarantine from high-risk regions","No policy",20.37
"SWE",2020-03-05,30,0,30,10.230185,2.93249828815412,2.93249828815412,0,0.837856653758321,0.837856653758321,0,"No measures","No measures","No restrictions","No measures","No measures","No measures","Ban on high-risk regions","No policy",19.44
"DNK",2020-03-06,10,0,10,5.806081,1.72233215485626,1.72233215485626,0,0.467490156318128,0.467490156318128,0,"No measures","No measures","No restrictions","No measures","Recommended movement restrictions","No measures","Quarantine from high-risk regions","No policy",25.93
"SWE",2020-03-06,25,0,25,10.230185,2.44374857346177,2.44374857346177,0,1.17299931526165,1.17299931526165,0,"No measures","No measures","No restrictions","No measures","No measures","No measures","Ban on high-risk regions","No policy",19.44
"DNK",2020-03-07,3,0,3,5.806081,0.516699646456879,0.516699646456879,0,0.516699646456879,0.516699646456879,0,"No measures","No measures","No restrictions","No measures","Recommended movement restrictions","No measures","Quarantine from high-risk regions","No policy",25.93
"SWE",2020-03-07,59,0,59,10.230185,5.76724663336978,5.76724663336978,0,1.88517747095622,1.88517747095622,0,"No measures","No measures","No restrictions","No measures","No measures","No measures","Ban on high-risk regions","No policy",19.44
"DNK",2020-03-08,8,0,8,5.806081,1.37786572388501,1.37786572388501,0,0.688932861942505,0.688932861942505,0,"No measures","No measures","No restrictions","No measures","Recommended movement restrictions","No measures","Quarantine from high-risk regions","No policy",25.93
"SWE",2020-03-08,33,0,33,10.230185,3.22574811696954,3.22574811696954,0,2.30410579783538,2.30410579783538,0,"No measures","No measures","No restrictions","No measures","No measures","No measures","Ban on high-risk regions","No policy",19.44
"DNK",2020-03-09,7,0,7,5.806081,1.20563250839938,1.20563250839938,0,0.836561332358756,0.836561332358756,0,"No measures","No measures","No restrictions","No measures","Recommended movement restrictions","No measures","Quarantine from high-risk regions","No policy",25.93
"SWE",2020-03-09,46,0,46,10.230185,4.49649737516966,4.49649737516966,0,2.94646256571676,2.94646256571676,0,"No measures","No measures","No restrictions","No measures","No measures","No measures","Ban on high-risk regions","No policy",19.44
"DNK",2020-03-10,75,0,75,5.806081,12.917491161422,12.917491161422,0,2.65731246749252,2.65731246749252,0,"No measures","No measures","No restrictions","Recommended closing (or reduce volume)","Recommended movement restrictions","No measures","Quarantine from high-risk regions","No policy",31.48
"SWE",2020-03-10,101,0,101,10.230185,9.87274423678555,9.87274423678555,0,4.28703321173008,4.28703321173008,0,"No measures","No measures","No restrictions","No measures","No measures","No measures","Ban on high-risk regions","No policy",19.44
"DNK",2020-03-11,151,0,88,5.806081,26.0072155383296,15.1565229627351,0,6.29881473776004,4.74871579838941,0,"No measures","Recommended","No restrictions","Recommended closing (or reduce volume)","Recommended movement restrictions","No measures","Ban on high-risk regions","No policy",37.96
"SWE",2020-03-11,98,0,98,10.230185,9.57949440797014,9.57949440797014,0,5.47399680455436,5.47399680455436,0,"No measures","No measures","No restrictions","No measures","No measures","No measures","Ban on high-risk regions","No policy",19.44
"DNK",2020-03-12,252,0,102,5.806081,43.4027703023778,17.5677879795339,0,12.4500010051038,7.20919030532693,0,"No measures","Recommended","No restrictions","Recommended closing (or reduce volume)","Recommended movement restrictions","No measures","Ban on high-risk regions","No policy",37.96
"SWE",2020-03-12,196,20,196,10.230185,19.1589888159403,19.1589888159403,1.95499885876942,7.79206687995239,7.79206687995239,0.279285551252774,"No measures","No measures","100-1000 people","No measures","No measures","No measures","Ban on high-risk regions","No policy",30.56
"DNK",2020-03-13,160,0,115,5.806081,27.5573144777002,19.806819780847,0,16.1407127655101,9.79268853761132,0,"Required (to all levels)","Recommended","100-10 people","Recommended closing (or reduce volume)","Recommended movement restrictions","Recommended movement restrictions","Ban on high-risk regions","No policy",62.96
